keys,es,en
PLAY,Jugar,Play
OPTIONS,Opciones,Options
CREDITS,Créditos,Credits
EXIT,Salir,Exit
MUSIC_VOLUME,Volumen de la música,Music Volume
FX_VOLUME,Volumen de FX,FX Volume
SAVE,Guardar,Save
MUTE,Silenciar,Mute
FULL_SCREEN,Pantalla Completa,Full Screen
LANGUAGE,Idioma,Language
ES_ES,Español,Spanish
EN_EN,Inglés,English
BACK,Atrás,Back
#EVENTS,,
EV_1,El hambre hace rugir tu estómago como un redoble de tambor.,The hunger makes your stomach roar like a drumroll.
EV_2,"Parece ser que los seres vivos tienen que comer de vez en cuando para sobrevivir, y tú llevas 4836285 horas sin hacerlo.","It seems that living beings need to eat from time to time to survive, and you have gone 4,836,285 hours without doing so."
EV_3,"Ves un anuncio de pizza en la televisión, mostrando un queso derretido tentadoramente.","You see a pizza add on television, with temptingly melted cheese."
EV_4,Sientes un vacío en el estómago que parece un agujero negro voraz.,You feel an emptiness in your stomach that seems like a voracious black hole.
EV_5,"Tu estómago emite sonidos lovecraftnianos, recordándote que no has comido en horas.","Your stomach emits Lovecraftian sounds, reminding you that you haven't eaten in hours."
EV_6,"No puede ser… cuando ibas a tomarte tu décimo segundo café del día, te has dado cuenta de que en realidad, desde que ha empezado la jam, siempre has estado bebiendo tilas.","It can't be... as you were about to have your twelfth coffee of the day, you realized that, since the jam started, you've always been drinking chamomile tea."
EV_7,"No hay nada más relajante que el ronroneo de un gato. Ese rrrrr… rrrr… rrzzz… zzzzz ¡¡Mierda, te has quedado dormido!!","There's nothing more relaxing than the purring of a cat. That rrrrr... rrrr... rrzzz... zzzzz. Damn, you've fallen asleep!"
EV_8,"Te das cuenta de que te cuesta concentrarte, tus niveles de energía casi están por el subsuelo.","You realize that it's hard for you to concentrate, and your energy levels are almost underground."
EV_9,"Tu día ha sido agotador, y te encuentras con la necesidad urgente de recargar tu energía.","Your day has been exhausting, and you find yourself in urgent need of recharging your energy."
EV_10,"Notas que tu mente se está volviendo lenta y pesada, tal y como decía tu ex.","You notice that your mind is becoming slow and heavy, just as your ex used to say."
EV_11,"Acabas de caer en que al poder elegir libremente el tema de la jam, puedes aprovechar para crear un prototipo del que será el juego de tus sueños.","You just realized that by freely choosing the theme for the game jam, you can take the opportunity to create a prototype of the game of your dreams."
EV_12,"Ya es mala suerte que la jam sea la misma semana que sale tu videojuego favorito. Lo tienes justo al lado, precintado aún… podrías probarlo un rato… nada, un par de partidas, solo…","It's just bad luck that the game jam falls on the same week your favorite video game is released. It's right there, still sealed... you could give it a try for a bit... just a couple of rounds, only..."
EV_13,Eres un impostor. No sirves para hacer videojuegos. Lo sabes. Los otros participantes lo saben. Tu madre lo sabe. Tu hámster lo sabe…,You're an impostor. You're not cut out for making video games. You know it. The other participants know it. Your mother knows it. Your hamster knows it...
EV_14,"Llevas ya bastante bien desarrollado el juego para la jam. Sería una lástima que ahora, de golpe, se te ocurrieran otras 37 nuevas ideas de videojuegos… oh wait!","You've already developed the game quite well for the jam. It would be a shame if, all of a sudden, you came up with another 37 new game ideas... oh wait!"
EV_15,Te sientes atrapado en la rutina diaria y buscas recuperar tu motivación.,You feel trapped in your daily routine and seek to regain your motivation.
EV_16,"¡Oh, no! ¡Justo ahoro una tubería ha explotado y tu cocina se está inundando!","Oh no! Right now, a pipe has burst, and your kitchen is flooding!"
EV_17,Vas con el tiempo muy justo para presentar algo decente... Quizá podrías plagiar DESCARADAMENTE el juego de otro participante y cambiar el nombre del protagonista.,You're running very short on time to present something decent... Maybe you could shamelessly plagiarize another participant's game and just change the main character's name.
EV_18,Quizá va siendo hora de que admitas no tener ningún talento para la ilustración. Mejor contratar a un artista 2D.,Perhaps it's time to admit that you have no talent for illustration. It might be better to hire a 2D artist.
